student_id,archetype,level_id,score,time_spent_minutes,passed,attempts,completed_date_days_ago
STU0001,intermediate,py_variables,72,28,True,1,294
STU0001,intermediate,py_loops,89,55,True,1,253
STU0001,intermediate,ds_dicts,51,58,False,3,170
STU0001,intermediate,py_oop,68,51,False,2,51
STU0001,intermediate,algo_greedy,73,116,True,1,131
STU0001,intermediate,math_linear_algebra,77,157,True,1,329
STU0001,intermediate,algo_sorting,64,85,False,3,264
STU0001,intermediate,math_probability,81,84,True,1,2
STU0001,intermediate,py_functions,55,41,False,2,191
STU0002,math_focused,py_functions,100,60,True,1,217
STU0002,math_focused,py_loops,79,17,True,1,41
STU0002,math_focused,ml_regression,64,133,False,1,327
STU0002,math_focused,ml_neural_nets,52,107,False,3,139
STU0002,math_focused,math_linear_algebra,82,91,True,1,289
STU0003,advanced,math_probability,87,108,True,1,257
STU0003,advanced,algo_dp,71,135,True,1,359
STU0003,advanced,math_linear_algebra,81,89,True,1,179
STU0003,advanced,ml_regression,84,143,True,1,52
STU0003,advanced,algo_searching,100,119,True,1,231
STU0003,advanced,ds_dicts,100,59,True,1,36
STU0003,advanced,py_oop,84,63,True,1,243
STU0003,advanced,py_functions,89,61,True,1,134
STU0003,advanced,ds_lists,65,57,False,2,331
STU0003,advanced,math_calculus,73,133,True,1,231
STU0003,advanced,math_statistics,79,161,True,1,283
STU0003,advanced,ml_classification,98,151,True,1,233
STU0003,advanced,py_variables,72,25,True,1,137
STU0003,advanced,py_loops,100,36,True,1,234
STU0003,advanced,algo_greedy,88,112,True,1,160
STU0003,advanced,ds_graphs,100,90,True,1,113
STU0003,advanced,ml_clustering,82,172,True,1,268
STU0003,advanced,ml_neural_nets,82,90,True,1,113
STU0003,advanced,algo_sorting,77,91,True,1,224
STU0004,code_focused,algo_greedy,64,166,False,2,198
STU0004,code_focused,py_variables,88,26,True,1,144
STU0004,code_focused,algo_dp,68,140,False,2,349
STU0004,code_focused,algo_sorting,69,118,False,3,346
STU0004,code_focused,py_functions,55,46,False,3,308
STU0004,code_focused,py_oop,72,63,True,1,39
STU0005,code_focused,py_variables,53,31,False,1,304
STU0005,code_focused,ds_lists,74,71,True,1,160
STU0005,code_focused,py_oop,56,73,False,3,147
STU0005,code_focused,py_functions,80,50,True,1,152
STU0006,intermediate,ds_lists,74,39,True,1,310
STU0006,intermediate,algo_greedy,73,117,True,1,161
STU0006,intermediate,py_loops,71,33,True,1,304
STU0006,intermediate,ds_trees,81,107,True,1,135
STU0006,intermediate,py_functions,60,61,False,3,22
STU0007,beginner,ds_lists,78,83,True,1,317
STU0007,beginner,py_oop,95,53,True,1,192
STU0007,beginner,py_variables,49,34,False,2,46
STU0007,beginner,py_loops,59,46,False,1,37
STU0007,beginner,ds_trees,60,95,False,1,95
STU0008,code_focused,algo_dp,81,168,True,1,280
STU0008,code_focused,algo_greedy,81,79,True,1,151
STU0008,code_focused,algo_searching,74,67,True,1,273
STU0008,code_focused,ds_dicts,79,107,True,1,170
STU0009,math_focused,math_probability,75,117,True,1,288
STU0009,math_focused,py_functions,69,47,False,1,186
STU0009,math_focused,ml_neural_nets,53,201,False,2,58
STU0009,math_focused,ml_classification,69,220,False,1,264
STU0009,math_focused,ml_clustering,66,209,False,1,103
STU0009,math_focused,math_linear_algebra,100,195,True,1,311
STU0010,beginner,ds_dicts,52,67,False,1,117
STU0010,beginner,ds_trees,60,59,False,1,129
